,category,id,item_nm,item_price,url,img_url
66,table,968497,시니컬T 원형 강화 유리 거실 테이블 2size(700/800),"159,900원",https://ohou.se/productions/968497/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448022100_4TBm6.jpg?gif=1&w=480&h=480&c=c
67,table,492441,서퍼 원목 거실테이블 스틸다리 3size,"129,000원",https://ohou.se/productions/492441/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158191141554200414.jpg?gif=1&w=480&h=480&c=c
68,table,427727,"장방형 온열 테이블 코타츠 KOW-105,120","164,000원",https://ohou.se/productions/427727/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159901174463156299.JPG?gif=1&w=480&h=480&c=c
69,table,228954,올리브 DIY 원목 디귿자 사이드테이블,"78,000원",https://ohou.se/productions/228954/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157847501817906168.jpg?gif=1&w=480&h=480&c=c
70,table,323603,팬지 선반 원목 좌식 거실테이블,"44,900원",https://ohou.se/productions/323603/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160040435521266655.jpg?gif=1&w=480&h=480&c=c
71,table,477511,모딜리아니 세라믹 원형 골드 소파 테이블 세트,"270,000원",https://ohou.se/productions/477511/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448091142_H2hAF.jpg?gif=1&w=480&h=480&c=c
72,table,627419,미니 볼테이블,"125,300원",https://ohou.se/productions/627419/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160878037643878793.jpg?gif=1&w=480&h=480&c=c
73,table,167288,뮤 소파테이블 / 사이즈 선택 가능,"149,000원",https://ohou.se/productions/167288/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1566277793_100427_1.jpg?gif=1&w=480&h=480&c=c
74,table,305228,비아 원목 사각 접이식 거실테이블 2size 2colors,"39,900원",https://ohou.se/productions/305228/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158987213042522881.jpg?gif=1&w=480&h=480&c=c
75,table,349076,포코 서랍형 협탁 사이드테이블 3colors,"39,000원",https://ohou.se/productions/349076/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/156800760252344196.jpg?gif=1&w=480&h=480&c=c
76,table,747960,미떼 거실 테이블 800 (낮은형) 2colors,"99,900원",https://ohou.se/productions/747960/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161596315265141233.jpg?gif=1&w=480&h=480&c=c
77,table,564182,리안 소파테이블 강화유리 타원형 라운드 쇼파 거실티테이블 2size,"298,000원",https://ohou.se/productions/564182/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1605147304_101150_1.jpg?gif=1&w=480&h=480&c=c
78,table,13964,원목 접이식 좌식 테이블 3sizes,"35,800원",https://ohou.se/productions/13964/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163167182004929482.jpg?gif=1&w=480&h=480&c=c
